"lineage","sample","meanAF","meanAF_uniq","minAF_uniq_nonzero","N","lineage N. rules","lineage prop."
"XBB.1.5.17","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.18","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.5.19","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.2","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.20","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.5.21","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.22","Mixture04",0.0175438596491228,0,NA,1,57,0.0175438596491228
"XBB.1.5.23","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.24","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.25","Mixture04",0.0158730158730159,0,NA,1,63,0.0158730158730159
"XBB.1.5.26","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.27","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.28","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.5.29","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.5.3","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.30","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.31","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.5.32","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.33","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.34","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.35","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.36","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.5.37","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.38","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.39","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.4","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.40","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.41","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.1.5.42","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBB.1.5.43","Mixture04",0.0149253731343284,0,NA,1,67,0.0149253731343284
"XBB.1.5.44","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBB.1.5.45",NA,0,0,NA,0,1,0
"XBB.1.5.46","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.47",NA,0,0,NA,0,1,0
"XBB.1.5.48","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBB.1.5.49","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBB.1.5.5","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
