sample	variant_group	proportion	mean	std_error
Mixture02	Mu_B.1.621	0.005065037775509111	0.005077234893667869	0.0011783608081578525
Mixture02	Omicron_BA.1	0.7494178868910533	0.7491390773753924	0.004715926533343903
Mixture02	Omicron_BA.2	2.50794268374234e-09	3.1841982515421518e-09	5.060060233856921e-09
Mixture02	Omicron_BA.2.12.1	2.7701882812144843e-10	5.452797973273183e-10	8.725951121039837e-10
Mixture02	Omicron_BA.3	0.006039383653295269	0.005916893900706957	0.002680611522031328
Mixture02	Omicron_BA.4	1.4900811697112132e-09	4.770848074691289e-09	1.71818082125376e-08
Mixture02	Omicron_BA.5	0.008053052374363863	0.008096443028943419	0.0031077133329174868
Mixture02	Theta_P.3	0.0005518622114092637	0.000563733768380768	0.00038857048398677023
Mixture02	Zeta_P.2	0.08916109007850619	0.09005486320364542	0.007437876684864364
Mixture03	A.23.1	0.0009563843381011102	0.0009129803682107722	0.0003761687143839742
Mixture03	AV.1	0.0023123932826912305	0.0023066982803151372	0.0005211789136145231
Mixture03	Alpha_B.1.1.7	0.00044282727312766585	0.00048099364787626016	0.0003333208292321626
Mixture03	B.1	1.1639410699390272e-10	6.175032747847439e-10	6.838184303527527e-10
Mixture03	B.1.1	4.956513572969639e-10	8.518536621747646e-10	7.872546360412753e-10
Mixture03	B.1.1.318	0.002664570261788988	0.002596668007423637	0.0010394692975743923
Mixture03	B.1.177	0.002279055833627504	0.0021908830284839	0.0008014246556997007
Mixture03	B.1.617.3	0.0005833335265231381	0.000596162567176434	0.00043668016223640123
Mixture03	B.1.623	0.0005627308085579541	0.0006257974094261066	0.000497686196353935
Mixture03	Beta_B.1.351	0.00038441643985719364	0.0004144305338596627	0.00038149323805980825
Mixture03	Delta_B.1.617.2	0.0013465784513865596	0.0013743321606002133	0.0005292220585633883
Mixture03	Epsilon_B.1.427_429	0	2.728707356774163e-10	4.3423651443784384e-10
Mixture03	Eta_B.1.525	0.005840244914891757	0.005737403779391779	0.001049140107418049
Mixture03	Gamma_P.1	0.059450321948534224	0.059178275125597465	0.0032486712967810315
Mixture03	Iota_B.1.526	0	2.403309684319451e-10	3.852026084905418e-10
Mixture03	Kappa_B.1.617.1	0.0006104590606587214	0.0006468958734230226	0.0003647229162291627
Mixture03	Lambda_C.37	0.0004391185644115133	0.0003917916488149365	0.00039445353303826783
Mixture03	Mu_B.1.621	0.001900405357074862	0.001905662242911471	0.0005971063340369557
Mixture03	Omicron_BA.1	0.0026398660068930003	0.0025601085812835367	0.0009283369670681069
Mixture03	Omicron_BA.2	0.37120480513177445	0.3730921324267847	0.022977593646396517
Mixture03	Omicron_BA.2.12.1	0.019356128619682365	0.018937446728185564	0.007851092437607623
Mixture03	Omicron_BA.3	0.0010293143263414668	0.001064952594382258	0.0010813658039285313
