Sample name	summarized	lineages	abundances	resid	coverage	plate	plate_date	collection_site_id	collection_date	sample_title
041023_20	[('Omicron', 0.9848944570010943), ('Other', 0.004215299999962905)]	XBB.1.5.63 XBB.2 XBB.2.4 XBB XBB.1 XBB.2.9 XBB.2.11 XBB.1.5.22 XBB.1.5.30 XBB.1.5.14 XBB.1.5.7 XBB.1.5.3 XBB.1.5.18 XBB.1.5.2 XBB.1.5.35 XBB.1.5.86 XBB.1.5.28 XBB.1.5.12 XBB.1.5.36 XBB.1.5.40 XBB.1.5.11 XBB.1.5.52 XBB.1.5.59 XBB.1.5.16 XBB.1.5.69 FG.3 XBB.1.5 BA.3 FP.3 XCG FE.1.2 XBB.1.18.1 XBB.1.5.73 XBB.1.10 XBB.1.5.57 XBB.1.5.62	0.20000000 0.06219680 0.06219680 0.06219680 0.06219680 0.06219680 0.06219680 0.02619231 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01790140 0.01705464 0.00972788 0.00421530 0.00394953 0.00394953 0.00356660 0.00327869 0.00232567 0.00154226	3.2581835440349565	18.46637461124302	08-25-23-A4-1	2023-08-25	041023_20	2023-04-11	fayetteville - rockfish
4452	[('Omicron', 0.9760411738541931), ('Other', 0.001880476303458721)]	XBB.1.16 FY.1.1 FY.1 XBB.1.22.1 XBB.1.22 FP.3 XBB.1.5.63 XAC XBB.1.5.81 XBB.1.5.44 XBB.1.10 XBB.1.5.57 XBB.1.5.27 B.1.1.358 XBB.1.5.79	0.44687452 0.11758691 0.11758691 0.11758691 0.11758691 0.01360080 0.01323012 0.01280665 0.00632911 0.00435967 0.00252009 0.00251405 0.00218855 0.00188048 0.00126998	4.982964835834899	29.67260809952179	08-25-23-A4-1	2023-08-25	4452	2023-04-03	charlotte 4
4458	[('Omicron', 0.982648814706859)]	XBB.1.5.54 XBB.1.5.59 XBB.1.5.16 XBB.1.5.3 XBB.1.5.18 XBB.1.5.2 XBB.1.5.30 XBB.1.5.1 XBB.1.5.12 XBB.1.5.86 XBB.1.5.36 XBB.1.5.11 XBB.1.5.52 XBB.1.5.14 XBB.1.5 XBB.1.5.32 XBB.1.5.56 XBB.1.5.61 XBB.1.5.39 XBB.1.5.6 XBB.1.5.49 XBB.1.5.76 FG.3 XBB.1.5.77 XBB.1.5.55 XBB.1.5.57 XBB.1.5.47 XBB.1.5.8 XBB.1.5.73 FY.2 XBB.1.15 FL.5 XBB.1.5.66	0.10852900 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.03541405 0.00682594 0.00437187 0.00374532 0.00293211 0.00199203 0.00162300 0.00142497 0.00126743	4.259479768106706	37.55476039193392	08-25-23-A4-1	2023-08-25	4458	2023-04-03	charlotte 1
4571	[('Omicron', 0.9795947031174189)]	XBB.1.22 XBB.1.16.3 XBB.1.16.5 GB.1 XAC XBB.1.5.1 FY.2 XBB.1.5.44 XBB.1.16.4	0.24532129 0.24158329 0.24158329 0.23622538 0.00993372 0.00142167 0.00128755 0.00114256 0.00109594	6.877162037904577	27.351770725345283	08-25-23-A4-1	2023-08-25	4571	2023-04-21	charlotte 4
4459	[('Omicron', 0.9863785607606217), ('Other', 0.005333465004747968)]	XBB.1.5.28 XBB.1.31 FP.3 XBB.1.13 XBL FW.1 XBB.1.15 FY.5 FP.2.1	0.88132994 0.08480100 0.00783201 0.00636943 0.00533347 0.00232558 0.00139470 0.00129973 0.00102617	8.880130413092676	46.5404808882052	08-25-23-A4-1	2023-08-25	4459	2023-03-31	charlotte 3
4565	[('Omicron', 0.9784332123354899)]	XBB.1.41 XBB.1.22 XBB.1.5.49 XBB.1.5.32 XBB.1.5.61 XBB.1.5.78 XBB.1.5.22 GN.1 XBB.1.5.57 XBB.1.3 XBB.1.10 XBB.1.5.8 XAC BA.3 XBB.1.44	0.25068265 0.24286454 0.10940071 0.10940071 0.10940071 0.10940071 0.02592044 0.00569465 0.00481632 0.00270931 0.00260258 0.00175302 0.00160514 0.00112042 0.00106131	8.444506720660957	51.1085844229676	08-25-23-A4-1	2023-08-25	4565	2023-04-21	msd of buncombe county
4562	[('Omicron', 0.9890154027484915), ('Other', 0.0015964719752868083)]	XBB.1.5.63 XCG	0.98901540 0.00159647	4.471928822994306	29.217804233688927	08-25-23-A4-1	2023-08-25	4562	2023-04-18	winston salem - salem
4561	[('Omicron', 0.9900435801930666)]	XBB.1.5.39 FY.3 XBB.1.22.1 XBB.1.22 GD.1 XBB.1.9.3 XBB.1.9 XBB.1.5.57 XBB.1.5.1	0.44918858 0.16380357 0.16380357 0.16380357 0.01474754 0.01474754 0.01474754 0.00403917 0.00116249	5.412729959639411	28.304852355950903	08-25-23-A4-1	2023-08-25	4561	2023-04-14	winston salem - salem
4554	[('Error', 1.00)]	Error	1.00	-1.0	-1.0	08-25-23-A4-1	2023-08-25	4554	2023-04-17	tuckaseigee
4553	[('Omicron', 0.9888245869568422)]	XBB.2.4 XBB.1.5.10 XBB.1.5.63 XBB.1.5.57 XBB.1.22 FY.3 FY.1 XBB.1.22.1 XBB.1.5.73 XBB.1.5.12 XBB.1.5 XBB.1.5.7 XBB.1.5.3 XBB.1.5.18 XBB.1.5.30 XBB.1.5.2 XBB.1.5.69 XBB.1.5.86 XBB.1.5.36 XBB.1.5.11 XBB.1.5.52 XBB.1.5.59 XBB.1.5.51 EM.1 XBB.2.11 XBB XBB.2 XBB.2.8 XBB.1 XBB.2.7 EL.1 XBB.1.5.1 XBB.3.1 XBB.1.10 XBB.1.34 BA.2.13 XBB.1.13 XBB.1.36	0.21491292 0.20000000 0.09090910 0.07142860 0.02731045 0.02731045 0.02731045 0.02731045 0.01963219 0.01387869 0.01387869 0.01387869 0.01387869 0.01387869 0.01387869 0.01387869 0.01387869 0.01387869 0.01387869 0.01387869 0.01387869 0.01387869 0.01387869 0.01387869 0.00996665 0.00996665 0.00996665 0.00996665 0.00996665 0.00996665 0.00280899 0.00278293 0.00246914 0.00204563 0.00124263 0.00117502 0.00109769 0.00109769	6.757550468093762	12.9886633448149	08-25-23-A4-1	2023-08-25	4553	2023-04-14	tuckaseigee
4550	[('Omicron', 0.9799756035939006)]	GB.1 XBB.1.5.86 EG.4 XBB.1.10 XBB.1.5.8	0.96928152 0.00557103 0.00234993 0.00147547 0.00129765	4.985186239641285	34.00996555529546	08-25-23-A4-1	2023-08-25	4550	2023-04-17	charlotte 2
4549	[('Omicron', 0.9836014746758927)]	XBB.2.4 XBB.2.8 XBB.2 XBB.1 XBB XBB.3.5 XBB.1.10 XBB.1.5.47 XBB.1.5.62 XBB.1.5.66 XBB.1.5.79 FP.3	0.89998384 0.01694001 0.01694001 0.01694001 0.01694001 0.00470351 0.00270194 0.00233391 0.00201078 0.00149435 0.00131609 0.00129700	9.295510050439304	57.977460455472695	08-25-23-A4-1	2023-08-25	4549	2023-04-14	charlotte 2
4542	[('Error', 1.00)]	Error	1.00	-1.0	-1.0	08-25-23-A4-1	2023-08-25	4542	2023-04-17	marion
4541	[('Error', 1.00)]	Error	1.00	-1.0	-1.0	08-25-23-A4-1	2023-08-25	4541	2023-04-12	marion
