sample	variant_group	proportion	mean	std_error
Mixture05	Omicron_BA.5	0.051238301425788065	0.05135774458969102	0.018057006092181863
Mixture05	Theta_P.3	0.002243553597482415	0.002287986436492587	0.00073482966079359
Mixture05	Zeta_P.2	0.11291684979554133	0.11124937375889293	0.012285065897091454
Mixture06	A.23.1	0.00109112285937611	0.0010183362777746291	0.0006408991471548869
Mixture06	AV.1	0.002682755923924256	0.0026599403229353082	0.0010616698513821025
Mixture06	Alpha_B.1.1.7	0.08811078882668649	0.08826988039251217	0.00476962446815632
Mixture06	B.1	3.40078515754484e-08	3.6728332872763886e-08	2.8608779481350795e-08
Mixture06	B.1.1	0.10185382274284117	0.10047841921522176	0.013747789433253544
Mixture06	B.1.1.318	0.003577497908600158	0.003392144950557939	0.003132774328297946
Mixture06	B.1.177	0.0018101188839178127	0.0017838006570488171	0.000726395572770943
Mixture06	B.1.617.3	0.014538559642241758	0.016297729458209283	0.008900701665999117
Mixture06	B.1.623	0.0030013923549254144	0.0029338681742896934	0.0011676467700062621
Mixture06	Beta_B.1.351	0.00874677937695396	0.007895165174315459	0.005841962656222593
Mixture06	Delta_B.1.617.2	0.09173737036931823	0.09130113720771557	0.006127431087396568
Mixture06	Epsilon_B.1.427_429	0.003124571610377144	0.0031244454808023047	0.002398020346135217
Mixture06	Eta_B.1.525	0.0020181728490743667	0.0020017052927301464	0.0007505934091143619
Mixture06	Gamma_P.1	0.054816894404415215	0.05556651334459068	0.004174808964041049
Mixture06	Iota_B.1.526	0.042126213312625206	0.04152958081715099	0.00807147522017624
Mixture06	Kappa_B.1.617.1	0.0004868763424834993	0.0004684937265864596	0.0004671514687760731
Mixture06	Lambda_C.37	0	0.0	0.0
Mixture06	Mu_B.1.621	0.0012216323278429451	0.001275628107895801	0.0008540907502756219
Mixture06	Omicron_BA.1	0.12436355793613342	0.12427446633293689	0.007061244138503917
Mixture06	Omicron_BA.2	0.16604396449856182	0.16517213278716267	0.02001536079020169
Mixture06	Omicron_BA.2.12.1	0.27721631391345175	0.27856532501371456	0.0192572759308532
Mixture06	Omicron_BA.3	0	1.5442320090879538e-11	1.4434466153561983e-10
Mixture06	Omicron_BA.4	0.0025327242046693653	0.0026913876970680733	0.002447203499416477
Mixture06	Omicron_BA.5	0.004692982205118597	0.004544420478095387	0.00463324976498703
Mixture06	Theta_P.3	0.0007403586942950481	0.0006989630176335144	0.0005042128897865195
Mixture06	Zeta_P.2	0.002492168405258455	0.0026019249993826767	0.0015178994581597552
Mixture07	A.23.1	0.0002937669835192593	0.0002912094148291649	0.0002931630664896738
Mixture07	AV.1	0.0008323211883053441	0.0009291496397970885	0.000614945207105509
Mixture07	Alpha_B.1.1.7	0.1090285907541889	0.10968980566355085	0.007877238446513739
Mixture07	B.1	2.0134610943445667e-09	3.1031145964733277e-09	1.7965373968810775e-09
Mixture07	B.1.1	0.06417513019774032	0.06449805715333205	0.0230397832848305
Mixture07	B.1.1.318	2.7935668442734734e-09	4.132309093748267e-09	2.659621130838238e-09
Mixture07	B.1.177	0.0013297402889158383	0.0014022863561372416	0.0008468456417080875
Mixture07	B.1.617.3	0.0007930211012055448	0.00079070061294772	0.0008037285811488249
Mixture07	B.1.623	0.0026972197659017815	0.0024791149464611644	0.0011308381112394524
Mixture07	Beta_B.1.351	0.0038441415692289723	0.0034392345258184185	0.003459080065754232
Mixture07	Delta_B.1.617.2	0.0014139043177635738	0.001441197977276262	0.0006968292801657312
Mixture07	Epsilon_B.1.427_429	0	0.0	0.0
Mixture07	Eta_B.1.525	0.003320441713826858	0.003199155629043468	0.0012566643005230288
Mixture07	Gamma_P.1	0.09637859853553493	0.09695679072962234	0.005575937691310262
Mixture07	Iota_B.1.526	0.18967618756470672	0.18970665681897134	0.01186750618245661
Mixture07	Kappa_B.1.617.1	0.0006291555987179472	0.0005945072453634566	0.00042586236076274747
Mixture07	Lambda_C.37	0.0008002408319637117	0.0007759688316351068	0.0007786340899093811
Mixture07	Mu_B.1.621	0	8.947120753942032e-13	8.902272748448236e-12
Mixture07	Omicron_BA.1	0.12195012999973744	0.12172192879494367	0.007326025217497541
Mixture07	Omicron_BA.2	5.899165270288817e-08	0.007790845406845734	0.015603649060755703
