Sample name,lineages,abundances,scheme,expected_abundance,percent_of_expected,O/E,number_of_lineages_in_mixture
o5,BA.5.X,0.9821974800000001,Freyja,1.0,98.21974800000001,0.9821974800000001,1
o5,BA.5.X,0.9766654,Freyja,1.0,97.66654,0.9766654,1
o5-2,BA.5.X,0.97743086,Freyja,1.0,97.743086,0.97743086,1
o5-2,BA.5.X,0.98918738,Freyja,1.0,98.91873799999999,0.98918738,1
o5-2,BA.5.X,0.98479711,Freyja,1.0,98.47971100000001,0.9847971100000001,1
o5-3,BA.5.X,0.98725921,Freyja,1.0,98.725921,0.9872592099999999,1
o5-3,BA.5.X,0.98057993,Freyja,1.0,98.057993,0.98057993,1
o5-3,BA.5.X,0.98366596,Freyja,1.0,98.366596,0.9836659600000001,1
0adgio1o2o3o4o5,BG.X,0.06001886,Freyja,0.13333333333333333,45.014145,0.45014145,10
0adgio1o2o3o4o5,BG.X,0.07859849,Freyja,0.13333333333333333,58.94886749999999,0.5894886749999999,10
0adgio1o2o3o4o5,BG.X,0.07327725,Freyja,0.13333333333333333,54.9579375,0.549579375,10
0aio1o2o3o4o5,BG.X,0.08206244,Freyja,0.125,65.649952,0.65649952,8
0aio1o2o3o4o5,BG.X,0.03463118,Freyja,0.125,27.704943999999998,0.27704944,8
0aio1o2o3o4o5,BG.X,0.08687546,Freyja,0.125,69.500368,0.6950036799999999,8
0o5o3o4,BG.X,0.08075034,Freyja,0.1875,43.066848,0.43066848,4
0o5o3o4,BG.X,0.058691639999999996,Freyja,0.1875,31.302207999999997,0.31302208,4
0o5o3o4,BG.X,0.05372921,Freyja,0.1875,28.655578666666663,0.28655578666666665,4
adgio1o2o3,BG.X,0.09646112,Freyja,0.25,38.584448,0.38584448000000005,7
adgio1o2o3,BG.X,0.18962135,Freyja,0.25,75.84854,0.7584854,7
adgio1o2o3,BG.X,0.10100944,Freyja,0.25,40.403776,0.40403776,7
agio3o4o5,BG.X,0.04124285,Freyja,0.125,32.994279999999996,0.3299428,6
agio3o4o5,BG.X,0.0684909,Freyja,0.125,54.792719999999996,0.5479272,6
agio3o4o5,BG.X,0.06117502,Freyja,0.125,48.940016,0.48940016,6
o1o2o3o4o5,BG.X,0.06217099,Freyja,0.125,49.736792,0.49736792,5
o1o2o3o4o5,BG.X,0.06932439,Freyja,0.125,55.459512,0.55459512,5
o1o2o3o4o5,BG.X,0.07831690999999999,Freyja,0.125,62.653527999999994,0.6265352799999999,5
o2o3o4o5,BG.X,0.21515236000000001,Freyja,0.25,86.060944,0.8606094400000001,4
o2o3o4o5,BG.X,0.19896746999999998,Freyja,0.25,79.58698799999999,0.7958698799999999,4
o2o3o4o5,BG.X,0.16952984,Freyja,0.25,67.81193599999999,0.6781193599999998,4
o2o3o4o5-2,BG.X,0.18500122,Freyja,0.25,74.000488,0.7400048800000001,4
o2o3o4o5-2,BG.X,0.14614056,Freyja,0.25,58.456224,0.58456224,4
o2o3o4o5-2,BG.X,0.19290647,Freyja,0.25,77.162588,0.77162588,4
o2o3o4o5-3,BG.X,0.13434568,Freyja,0.25,53.738271999999995,0.53738272,4
o2o3o4o5-3,BG.X,0.1539635,Freyja,0.25,61.5854,0.615854,4
o2o3o4o5-3,BG.X,0.13541554,Freyja,0.25,54.166216,0.54166216,4
o3,BG.X,0.9886654500000001,Freyja,1.0,98.866545,0.9886654500000001,1
o3,BG.X,0.9888962,Freyja,1.0,98.88962,0.9888961999999999,1
o3,BG.X,0.9849303,Freyja,1.0,98.49303,0.9849303,1
o3-2,BG.X,0.9834431499999999,Freyja,1.0,98.344315,0.9834431499999999,1
o3-2,BG.X,0.98386379,Freyja,1.0,98.386379,0.98386379,1
o3-2,BG.X,0.98863098,Freyja,1.0,98.86309800000001,0.98863098,1
o3-3,BG.X,0.98959442,Freyja,1.0,98.959442,0.98959442,1
o3-3,BG.X,0.98595313,Freyja,1.0,98.59531299999999,0.98595313,1
o3-3,BG.X,0.98852796,Freyja,1.0,98.852796,0.98852796,1
o3-4,BG.X,0.98841121,Freyja,1.0,98.841121,0.98841121,1
o3-4,BG.X,0.92377707,Freyja,1.0,92.377707,0.92377707,1
o3-4,BG.X,0.98022306,Freyja,1.0,98.022306,0.98022306,1
0adgio1,Delta,0.15529487,Freyja,0.1875,82.82393066666667,0.8282393066666667,6
0adgio1,Delta,0.14841100999999998,Freyja,0.1875,79.15253866666666,0.7915253866666666,6
0adgio1,Delta,0.09877369,Freyja,0.1875,52.67930133333333,0.5267930133333333,6
0adgio1-2,Delta,0.09322065,Freyja,0.14285714285714288,65.254455,0.6525445499999999,6
0adgio1-2,Delta,0.09723189999999998,Freyja,0.14285714285714288,68.06232999999999,0.6806232999999999,6
0adgio1-2,Delta,0.06754953000000001,Freyja,0.14285714285714288,47.284671,0.47284671,6
0adgio1o2o3o4o5,Delta,0.029684610000000004,Freyja,0.06666666666666667,44.526915,0.44526915,10
0adgio1o2o3o4o5,Delta,0.03948475,Freyja,0.06666666666666667,59.227125,0.59227125,10
0adgio1o2o3o4o5,Delta,0.02499044,Freyja,0.06666666666666667,37.485659999999996,0.3748566,10
adgio1o2o3,Delta,0.16075943000000004,Freyja,0.1875,85.73836266666669,0.8573836266666669,7
adgio1o2o3,Delta,0.11932714999999999,Freyja,0.1875,63.64114666666666,0.6364114666666666,7
adgio1o2o3,Delta,0.16811644999999997,Freyja,0.1875,89.66210666666666,0.8966210666666666,7
d,Delta,0.9848493100000001,Freyja,1.0,98.484931,0.98484931,1
d,Delta,0.98514272,Freyja,1.0,98.514272,0.98514272,1
d,Delta,0.98523117,Freyja,1.0,98.523117,0.98523117,1
d-2,Delta,0.9886439300000001,Freyja,1.0,98.864393,0.9886439300000001,1
d-2,Delta,0.98471052,Freyja,1.0,98.471052,0.98471052,1
d-2,Delta,0.98711714,Freyja,1.0,98.711714,0.9871171400000001,1
0adgio1,Gamma,0.03350208,Freyja,0.0625,53.603328,0.53603328,6
0adgio1,Gamma,0.02846437,Freyja,0.0625,45.542992,0.45542992,6
0adgio1,Gamma,0.050856769999999996,Freyja,0.0625,81.370832,0.8137083199999999,6
0adgio1-2,Gamma,0.10381894,Freyja,0.14285714285714288,72.67325799999999,0.7267325799999999,6
0adgio1-2,Gamma,0.11320975999999999,Freyja,0.14285714285714288,79.24683199999998,0.7924683199999998,6
0adgio1-2,Gamma,0.08655795,Freyja,0.14285714285714288,60.590564999999984,0.6059056499999999,6
0adgio1o2o3o4o5,Gamma,0.03560762,Freyja,0.06666666666666667,53.41143,0.5341143,10
0adgio1o2o3o4o5,Gamma,0.039374349999999995,Freyja,0.06666666666666667,59.06152499999999,0.5906152499999999,10
0adgio1o2o3o4o5,Gamma,0.04716771,Freyja,0.06666666666666667,70.751565,0.7075156499999999,10
0agio1o2,Gamma,0.1386532,Freyja,0.1875,73.94837333333334,0.7394837333333334,6
0agio1o2,Gamma,0.17043694,Freyja,0.1875,90.89970133333334,0.9089970133333334,6
0agio1o2,Gamma,0.10684442,Freyja,0.1875,56.98369066666666,0.5698369066666666,6
adgio1o2o3,Gamma,0.06395504,Freyja,0.0625,102.32806400000001,1.02328064,7
adgio1o2o3,Gamma,0.03520374,Freyja,0.0625,56.325984,0.56325984,7
adgio1o2o3,Gamma,0.03485608,Freyja,0.0625,55.76972799999999,0.55769728,7
agio3o4o5,Gamma,0.06310761,Freyja,0.125,50.486087999999995,0.50486088,6
agio3o4o5,Gamma,0.07834562,Freyja,0.125,62.676496,0.62676496,6
agio3o4o5,Gamma,0.08856339999999999,Freyja,0.125,70.85072,0.7085072,6
g,Gamma,0.9894360499999999,Freyja,1.0,98.94360499999999,0.9894360499999999,1
g,Gamma,0.9921838599999999,Freyja,1.0,99.218386,0.9921838599999999,1
g,Gamma,0.99074617,Freyja,1.0,99.074617,0.99074617,1
g-2,Gamma,0.9913128299999999,Freyja,1.0,99.131283,0.9913128299999999,1
g-2,Gamma,0.99439467,Freyja,1.0,99.43946700000001,0.99439467,1
g-2,Gamma,0.99123966,Freyja,1.0,99.123966,0.99123966,1
0adgio1,Iota,0.180312,Freyja,0.125,144.2496,1.4424959999999998,6
0adgio1,Iota,0.19117,Freyja,0.125,152.936,1.52936,6
0adgio1,Iota,0.110704,Freyja,0.125,88.5632,0.885632,6
0adgio1-2,Iota,0.17201778,Freyja,0.14285714285714288,120.41244599999999,1.2041244599999998,6
0adgio1-2,Iota,0.1196876,Freyja,0.14285714285714288,83.78132,0.8378131999999999,6
0adgio1-2,Iota,0.19207,Freyja,0.14285714285714288,134.44899999999998,1.3444899999999997,6
0adgio1o2o3o4o5,Iota,0.05505277,Freyja,0.06666666666666667,82.579155,0.82579155,10
0adgio1o2o3o4o5,Iota,0.08408232,Freyja,0.06666666666666667,126.12348,1.2612348,10
0adgio1o2o3o4o5,Iota,0.0455408,Freyja,0.06666666666666667,68.3112,0.6831119999999999,10
0agio1o2,Iota,0.180153,Freyja,0.125,144.1224,1.441224,6
0agio1o2,Iota,0.15406439,Freyja,0.125,123.25151199999999,1.23251512,6
0agio1o2,Iota,0.120586,Freyja,0.125,96.4688,0.964688,6
0aio1o2o3o4o5,Iota,0.14983148,Freyja,0.125,119.86518399999999,1.19865184,8
0aio1o2o3o4o5,Iota,0.120757,Freyja,0.125,96.60560000000001,0.9660560000000001,8
0aio1o2o3o4o5,Iota,0.10055206,Freyja,0.125,80.441648,0.80441648,8
adgio1o2o3,Iota,0.098949,Freyja,0.0625,158.3184,1.583184,7
adgio1o2o3,Iota,0.07462056,Freyja,0.0625,119.39289600000001,1.19392896,7
adgio1o2o3,Iota,0.0626026,Freyja,0.0625,100.16416,1.0016416,7
agio3o4o5,Iota,0.12800121,Freyja,0.1875,68.267312,0.68267312,6
agio3o4o5,Iota,0.24244712,Freyja,0.1875,129.30513066666666,1.2930513066666665,6
agio3o4o5,Iota,0.184012,Freyja,0.1875,98.13973333333334,0.9813973333333333,6
i,Iota,0.98556448,Freyja,1.0,98.556448,0.9855644800000001,1
i,Iota,0.97974333,Freyja,1.0,97.974333,0.97974333,1
i,Iota,0.97997977,Freyja,1.0,97.997977,0.97997977,1
i-2,Iota,0.98427241,Freyja,1.0,98.427241,0.98427241,1
i-2,Iota,0.98513545,Freyja,1.0,98.51354500000001,0.98513545,1
i-2,Iota,0.98131987,Freyja,1.0,98.131987,0.98131987,1
0,Wuhan-hu-1,0.49208518,Freyja,1.0,49.208518,0.49208517999999996,1
0,Wuhan-hu-1,0.32322431,Freyja,1.0,32.322431,0.32322431,1
0,Wuhan-hu-1,0.32261288,Freyja,1.0,32.261288,0.32261288,1
0-2,Wuhan-hu-1,0.98267715,Freyja,1.0,98.267715,0.98267715,1
0-2,Wuhan-hu-1,0.92124138,Freyja,1.0,92.124138,0.92124138,1
0-2,Wuhan-hu-1,0.32832595,Freyja,1.0,32.832595,0.32832595,1
0-3,Wuhan-hu-1,0.32734974,Freyja,1.0,32.734974,0.32734974,1
0-3,Wuhan-hu-1,0.49281895,Freyja,1.0,49.281895,0.49281895,1
0-3,Wuhan-hu-1,0.48958527,Freyja,1.0,48.958527000000004,0.48958527,1
0-4,Wuhan-hu-1,0.97138115,Freyja,1.0,97.138115,0.97138115,1
0-4,Wuhan-hu-1,0.98692177,Freyja,1.0,98.692177,0.98692177,1
0-4,Wuhan-hu-1,0.49038601,Freyja,1.0,49.038601,0.49038601,1
0adgio1-2,Wuhan-hu-1,0.01001741,Freyja,0.28571428571428575,3.5060934999999995,0.035060934999999994,6
0adgio1o2o3o4o5,Wuhan-hu-1,0.01862879,Freyja,0.13333333333333333,13.9715925,0.139715925,10
0o5o3o4,Wuhan-hu-1,0.14469641,Freyja,0.375,38.585709333333334,0.38585709333333335,4
0o5o3o4,Wuhan-hu-1,0.03598661,Freyja,0.375,9.596429333333333,0.09596429333333333,4
0o5o3o4,Wuhan-hu-1,0.06049882,Freyja,0.375,16.13301866666667,0.16133018666666668,4
