Sample name,lineages,abundances,scheme,tool,Background,expected_abundance,percent_of_expected
o2o3o4o5-2,BA.5.X,0.2132,kallisto: WB,kallisto,WB,0.25,85.28
o2o3o4o5-3,BA.5.X,0.2145,kallisto: WB,kallisto,WB,0.25,85.8
o5,BA.5.X,0.6752000000000002,kallisto: WB,kallisto,WB,1.0,67.52000000000002
o5-2,BA.5.X,0.7075999999999997,kallisto: WB,kallisto,WB,1.0,70.75999999999996
o5-3,BA.5.X,0.6165000000000002,kallisto: WB,kallisto,WB,1.0,61.65000000000001
0adgio1o2o3o4o5,BA.5.X,0.0043,Kraken 2 (C-WAP): NWRB,Kraken 2 (C-WAP),NWRB,0.13333333333333333,3.225
0aio1o2o3o4o5,BA.5.X,0.006,Kraken 2 (C-WAP): NWRB,Kraken 2 (C-WAP),NWRB,0.125,4.8
0o5o3o4,BA.5.X,0.0069,Kraken 2 (C-WAP): NWRB,Kraken 2 (C-WAP),NWRB,0.25,2.76
agio3o4o5,BA.5.X,0.0044,Kraken 2 (C-WAP): NWRB,Kraken 2 (C-WAP),NWRB,0.1875,2.3466666666666667
o1o2o3o4o5,BA.5.X,0.0062,Kraken 2 (C-WAP): NWRB,Kraken 2 (C-WAP),NWRB,0.25,2.48
o2o3o4o5,BA.5.X,0.0049,Kraken 2 (C-WAP): NWRB,Kraken 2 (C-WAP),NWRB,0.3125,1.568
o2o3o4o5-2,BA.5.X,0.0042,Kraken 2 (C-WAP): NWRB,Kraken 2 (C-WAP),NWRB,0.25,1.68
o2o3o4o5-3,BA.5.X,0.0071,Kraken 2 (C-WAP): NWRB,Kraken 2 (C-WAP),NWRB,0.25,2.8400000000000003
o5,BA.5.X,0.0075,Kraken 2 (C-WAP): NWRB,Kraken 2 (C-WAP),NWRB,1.0,0.75
o5-2,BA.5.X,0.0057,Kraken 2 (C-WAP): NWRB,Kraken 2 (C-WAP),NWRB,1.0,0.5700000000000001
o5-3,BA.5.X,0.0056,Kraken 2 (C-WAP): NWRB,Kraken 2 (C-WAP),NWRB,1.0,0.5599999999999999
