sample	variant_group	proportion	mean	std_error
Mixture29	Gamma_P.1	1.1389291984195891e-08	8.520464277743512e-08	1.5067773698767206e-07
Mixture29	Iota_B.1.526	2.2954087612381077e-08	2.3459594643863544e-07	3.7317803351174985e-07
Mixture29	Kappa_B.1.617.1	0.00037851573588720117	0.00038279899221411133	0.0001616109559037571
Mixture29	Lambda_C.37	0.008495727469878039	0.008601673698430236	0.002792132079116483
Mixture29	Mu_B.1.621	0.0008171628901209144	0.000844143346252507	0.0003067044090225088
Mixture29	Omicron_BA.1	0.025568678534267007	0.025384686106714818	0.00223260200198065
Mixture29	Omicron_BA.2	0.21441620426688848	0.2106882040734192	0.025720322936165847
Mixture29	Omicron_BA.2.12.1	0.13815395709714795	0.13708648713427946	0.012499903030392502
Mixture29	Omicron_BA.3	1.1854159947564302e-08	0.0006395818949441042	0.0020478685264688126
Mixture29	Omicron_BA.4	0.5320980012768909	0.5357653215602532	0.021418828250291826
Mixture29	Omicron_BA.5	0.05430953211093489	0.05496964792896832	0.011935750901489791
Mixture29	Theta_P.3	0.00047543152066666653	0.00047563133832186793	0.00026847927165087737
Mixture29	Zeta_P.2	0.00025702105680031463	0.0002897899653230342	0.0002701063061814886
Mixture30	A.23.1	0.0003620213323947113	0.0003175791561853272	0.00024477087691820445
Mixture30	AV.1	0.0019109860178077563	0.0018318881599585892	0.0006070672053384364
Mixture30	Alpha_B.1.1.7	0.003113107125892038	0.002969457975965632	0.0007072859939785964
Mixture30	B.1	3.6260353965128786e-06	1.832412974049946e-06	1.80464881321844e-06
Mixture30	B.1.1	2.7409720678281025e-07	2.1119343184523878e-07	3.766911593642091e-07
Mixture30	B.1.1.318	8.043672586094168e-07	5.937892330152142e-07	4.527473460888585e-07
Mixture30	B.1.177	2.347455384628382e-06	1.8291642528007506e-06	1.1192567033522215e-06
Mixture30	B.1.617.3	9.763619103556714e-06	2.046493432448187e-05	5.351552951722624e-05
Mixture30	B.1.623	8.9544856932767e-06	7.552011391688959e-05	0.00012453657070453014
Mixture30	Beta_B.1.351	1.0679588410880007e-05	7.398051100536327e-05	0.0001156417708997244
Mixture30	Delta_B.1.617.2	0.000954857786468682	0.000938767411331391	0.00026822020654446133
Mixture30	Epsilon_B.1.427_429	0.00031968958980008817	0.0003051522648291633	0.00021649011376704104
Mixture30	Eta_B.1.525	0.000429987444998392	0.0004121831946357988	0.0002071900882502353
Mixture30	Gamma_P.1	0.0003611866880672231	0.0003929795220279353	0.00027156406389928323
Mixture30	Iota_B.1.526	1.5188189594596863e-06	8.48752792604054e-07	1.0739741767148934e-06
Mixture30	Kappa_B.1.617.1	0.000609033521294655	0.0006087366613353091	0.00024020240927819444
Mixture30	Lambda_C.37	8.043634364245457e-07	6.136086427876187e-07	4.6068533499719436e-07
Mixture30	Mu_B.1.621	0.00027796250382789616	0.00022897198788741024	0.00015948374051177747
Mixture30	Omicron_BA.1	0.016577523136501397	0.016688068025331147	0.0018042259183247281
Mixture30	Omicron_BA.2	0.2281033417488698	0.22196656668571538	0.02293662125974657
Mixture30	Omicron_BA.2.12.1	0.12506519776096775	0.12552328508723318	0.01126308931654035
Mixture30	Omicron_BA.3	1.1029659852251268e-06	0.00025783818473219334	0.0011304718165753283
Mixture30	Omicron_BA.4	0.3945164170292266	0.3993509707037004	0.01855374948988265
Mixture30	Omicron_BA.5	0.22491952364923914	0.2255449936542591	0.010907055177400315
Mixture30	Theta_P.3	0.0015922939989836363	0.0016079417628375972	0.0005337227003629728
Mixture30	Zeta_P.2	0.0008428208043167965	0.0008789728895333511	0.0006138707207081429
