lineage,sample,meanAF,meanAF_uniq,minAF_uniq_nonzero,N,lineage N. rules,lineage prop.
BA.2.74,NA,0,0,NA,0,1,0
BA.2.75,NA,0,0,NA,0,1,0
BA.2.75.1,NA,0,0,NA,0,1,0
BA.2.75.10,NA,0,0,NA,0,1,0
BA.2.75.2,Mixture06,0.0149253731343284,0,NA,1,67,0.0149253731343284
BA.2.75.3,Mixture06,0.0163934426229508,0,NA,1,61,0.0163934426229508
BA.2.75.4,Mixture06,0.0153846153846154,0,NA,1,65,0.0153846153846154
BA.2.75.5,Mixture06,0.0153846153846154,0,NA,1,65,0.0153846153846154
BA.2.75.6,NA,0,0,NA,0,1,0
BA.2.75.7,NA,0,0,NA,0,1,0
BA.2.75.9,NA,0,0,NA,0,1,0
BA.2.76,NA,0,0,NA,0,1,0
BA.2.76.1,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.77,NA,0,0,NA,0,1,0
BA.2.78,NA,0,0,NA,0,1,0
BA.2.79,Mixture06,0.0178571428571429,0,NA,1,56,0.0178571428571429
BA.2.79.1,NA,0,0,NA,0,1,0
BA.2.8,Mixture06,0.0181818181818182,0,NA,1,55,0.0181818181818182
BA.2.81,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
BA.2.82,Mixture06,0.0175438596491228,0,NA,1,57,0.0175438596491228
BA.2.85,Mixture06,0.0185185185185185,0,NA,1,54,0.0185185185185185
